"la" "ln" "ph" "sla" "ssd" "sm"
"Acacia_ophiolithica" NA NA NA NA NA 1.84
"Acacia_oraria" NA NA NA NA 0.92 33
"Acacia_orites" 3019 NA NA NA NA NA
"Acacia_oshanesii" NA NA NA NA 0.770595 14.1
"Acacia_oswaldii" 116.9555 18.447396348 5.58333333333333 3.78534209675 0.975513 79.97
"Acacia_oxycedrus" 31.35 16.121 NA NA NA 28.8
"Acacia_pachycarpa" NA NA NA NA 0.86961 175
"Acacia_papulosa" NA NA NA NA NA 4.91
"Acacia_papyrocarpa" NA NA NA NA 0.9751335 NA
"Acacia_paradoxa" 32.8487 NA 0.4 7.204307564 NA 9.965
"Acacia_parramattensis" NA NA NA NA NA 9.38
"Acacia_parvipinnula" NA NA NA NA NA 11.89
"Acacia_pellita" NA NA NA NA 0.67 NA
"Acacia_pendula" NA NA NA NA 0.994455 20.79
"Acacia_pennata" 1358.666667 31.0394817325 NA 13.161 NA 76.33
"Acacia_pennatula" NA NA NA NA NA 78.8
"Acacia_penninervis" 917.660266666667 NA 2.33333333333333 4.93950425633333 0.6368296 56.435
"Acacia_perangusta" NA NA NA NA NA 9.245
"Acacia_pervillei" NA NA NA NA NA 43.49
"Acacia_peuce" NA NA NA NA 1.226925 NA
"Acacia_phaeocalyx" NA NA NA NA NA 25.21
"Acacia_phasmoides" NA NA NA NA NA 14.73
"Acacia_phlebocarpa" NA NA NA NA NA 16.42
"Acacia_piligera" NA NA NA NA NA 32.25
"Acacia_pilligaensis" NA NA NA NA NA 9.04
"Acacia_pinguiculosa" NA NA NA NA NA 2.28
