"biomesKoeppenGroup" "woodiness" "mycorrhizalAssociationType" "nitrogenFixationNodDB" "SRL" "D" "RTD" "N"
"Astragalus_canadensis" "Continental" "non-woody" "NA" "Rhizobia" -0.083543054 0.416162965 0.08808222 1.220921385
"Astragalus_dasyglottis" "Arid" "non-woody" "NA" "Rhizobia" -0.911799025 0.659604839 0.471828609 NA
"Astragalus_galactites" "Continental" "non-woody" "NA" "Rhizobia" NA 0.776456949 NA NA
"Astragalus_glycyphyllos" "NA" "non-woody" "NA" "Rhizobia" -1.007525465 0.868275009 0.773760374 NA
"Astragalus_humistratus" "Temperate" "non-woody" "NA" "Rhizobia" -0.489940144 NA NA 1.324848391
"Astragalus_melilotoides" "Arid" "non-woody" "NA" "Rhizobia" 0.066416591 NA NA 1.342716803
"Astragalus_oxyglottis" "Arid" "non-woody" "NA" "Rhizobia" 0.241176677 NA NA 0.693144922
"Astragalus_rusbyi" "Temperate" "non-woody" "NA" "Rhizobia" -0.246975277 NA NA 1.352886735
"Astrantia_minor" "Temperate" "non-woody" "NA" "NA" -0.959127175 0.75209261 NA -0.290165918
"Atractylis_humilis" "Arid" "non-woody" "NA" "NA" -0.419925642 -0.109806718 -0.264912064 NA
"Atriplex_canescens" "NA" "woody" "NA" "NA" -0.43591308 NA NA NA
"Atriplex_prostrata" "NA" "non-woody" "NA" "NA" 0.051261483 0.183340337 -0.477058349 NA
"Austrodanthonia_carphoides" "NA" "non-woody" "NA" "NA" 0.066261691 -0.180615208 NA NA
"Avena_sativa" "NA" "non-woody" "NA" "NA" 0.403957717 -0.19200219 -0.526404311 NA
"Avena_sterilis" "NA" "non-woody" "NA" "NA" 0.265401223 -0.233721219 -0.187164329 NA
"Avenula_pubescens" "NA" "non-woody" "NA" "NA" 0.437011844 0.071843607 -1.126553782 -0.860993958
"Avicennia_marina" "Arid" "woody" "NA" "NA" NA NA NA -0.042197339
"Azadirachta_indica" "Arid" "woody" "NA" "NA" NA NA NA 0.015661766
"Baccaurea_ramiflora" "Temperate" "woody" "NA" "NA" NA 0.284068799 NA NA
"Bahia_dissecta" "Temperate" "non-woody" "NA" "NA" 0.579773572 NA NA 0.407902631
"Ballota_hirsuta" "Arid" "woody" "NA" "NA" -0.448452099 -0.270039365 -0.211986866 NA
"Banara_vanderbiltii" "Tropical" "woody" "NA" "NA" 0.054771193 -0.696104249 0.935327214 1.417350451
"Baptisia_alba" "NA" "non-woody" "NA" "Rhizobia" -0.149256736 0.452931698 -0.526396924 NA
"Baptisia_australis" "NA" "non-woody" "NA" "Rhizobia" -0.446333417 0.422378644 0.156031674 NA
"Barringtonia_fusicarpa" "Temperate" "woody" "NA" "NA" NA 0.241766703 NA NA
"Barringtonia_racemosa" "Temperate" "woody" "AM" "NA" -0.55957069 0.505226498 0.296019951 -0.258198374
"Bartsia_alpina" "Continental" "non-woody" "NA" "NA" NA 0.317596986 NA NA
"Bassia_dasyphylla" "Arid" "non-woody" "NA" "NA" 0.280028555 NA NA 0.100814509
"Bauhinia_brachycarpa" "Temperate" "woody" "NA" "None" 0.674788913 NA NA -0.069185297
"Bauhinia_championii" "Temperate" "woody" "NA" "None" -1.077385484 0.256716928 NA -0.662726434
"Beilschmiedia_tarairi" "NA" "woody" "AM" "NA" -0.785579393 0.772202868 0.200012977 -0.118435064
"Beilschmiedia_tawa" "NA" "woody" "AM" "NA" -0.810793934 0.589415417 0.589134155 0.217520279
